ttc_c_m,sub,ttc_R_m,ttc_L_m,rev,sev,d_sl2vsp,lddt,d_factor,drive_recorder_id,ttc_c_inv,ttc_R_m_inv,ttc_L_m_inv,d_sl2vsp_t,d_sl2vsp_t_inv,lddt_inv,AVG_d_judgment_id__1,AVG_d_judgment_rescale,AVG_d_judgment_id_Bit,AVG_d_judgment_id_floor
0,1,0,39.162,1.155556,5.488889,24.079722,1.013746,一時停止,2137,0,0,0.0255349573566212,1.44478332,0.692145310758433,0.986440390393649,0,-1,0,0
0,1,0.078,0.078,13.582222,0.531667,79.555556,1.904228,左折,7582,0,12.8205128205128,12.8205128205128,1.04743444976777,0.954713681817242,0.525147198759812,0,-1,0,0
0,1,1.123,1.123,29.278333,10.916389,0,2.172083,信号停止,12325,0,0.890471950133571,0.890471950133571,0,0,0.460387563458671,0,-1,0,0
0,1,0.135,0.135,4.05,21.563889,78.643611,-1.405754,信号停止,12715,0,7.40740740740741,7.40740740740741,1.07702286149047,0.928485397808659,-1.405754,0,-1,0,0
0,1,1.491,1.491,2.800556,14.740417,66.428333,-0.965249,信号停止,14427,0,0.670690811535882,0.670690811535882,1.2690617639567,0.787983712378338,-0.965249,0.2,-0.6,0,1
0,1,0,0.115,3.562222,1.685,46.732222,1.022282,一時停止,16122,0,0,8.69565217391304,0.785672251436043,1.27279536495302,0.978203665916058,0.2,-0.6,0,1
0,1,0.151,0.151,7.677778,1.455556,57.701667,1.634396,踏切,16290,0,6.62251655629139,6.62251655629139,1.40118719190556,0.71368051733333,0.611846822924187,0.1667,-0.6666,0,1
0.5,1,0,56.577,0.122222,1.422222,19.556389,1.383734,左折,22126,2,0,0.0176750269544161,1.49127304384664,0.670568011757635,0.722682249623121,0,-1,0,0
0,1,3.707,3.707,5.786667,9.201667,17.505278,-0.250744,信号停止,26620,0,0.269759913676828,0.269759913676828,0.203051297847661,4.9248638674068,-0.250744,0,-1,0,0
0,1,0.341,0.341,2.530278,9.03875,44.500556,-0.57459,一時停止,34737,0,2.93255131964809,2.93255131964809,0.825868654500464,1.2108462944448,-0.57459,0.1429,-0.7142,0,1
0,1,22.976,0,3.176667,24.55125,63.991111,-2.044274,信号停止,35285,0,0.0435236768802228,0,1.14411720685374,0.874036326007148,-2.044274,0,-1,0,0
0,1,6.603,6.603,8.794444,15.927778,74.825,-0.736336,左折,37203,0,0.151446312282296,0.151446312282296,0.785220813292523,1.27352711883283,-0.736336,0.4,-0.2,0,1
3.5,1,20.442,20.442,9.927778,12.345833,51.823333,-0.224887,信号停止,37569,0.285714285714286,0.0489188924762743,0.0489188924762743,1.68363864994134,0.593951677240743,-0.224887,0,-1,0,0
0,1,0,23.62,0.938056,19.148472,72.509722,-1.482683,右折,37760,0,0,0.0423370025402202,1.10974831731996,0.9011052185373,-1.482683,0,-1,0,0
0,1,0.1,0.1,0.069444,4.375,59.575833,-0.258503,右折,69211,0,10,10,0.973240453782275,1.02749530818795,-0.258503,0,-1,0,0
0,1,15.755,15.755,7.698889,16.284306,15.884167,-0.723785,信号停止,74164,0,0.0634719136781974,0.0634719136781974,0.21340922261616,4.68583310384206,-0.723785,0,-1,0,0
0,1,0.13,0.13,7.047778,6.497917,54.83,0.51594,前方車の減速,76355,0,7.69230769230769,7.69230769230769,1.16632001890806,0.857397612823475,1.93820986936466,0,-1,0,0
6.111,1,8.741,8.741,0.255,14.104444,0,-1.025474,前方車の減速,81358,0.163639338897071,0.114403386340236,0.114403386340236,0,0,-1.025474,0,-1,0,0
0,1,0,0,4.095833,4.225694,34.509722,0.909115,右折,81421,0,0,0,0.883480295832741,1.13188715664273,1.09997085077245,0.4,-0.2,0,1
0.816,1,25.869,25.869,6.396389,25.958472,61.498333,-1.903801,一時停止,82998,1.22549019607843,0.0386563067764506,0.0386563067764506,1.81843120164271,0.549924571848873,-1.903801,0,-1,0,0
0,1,0,7.077,31.957222,6.521389,103.843056,2.68067,右折,88864,0,0,0.141302811925957,0.903790831419385,1.10645070212708,0.373041068091186,0,-1,0,0
0,1,3.363,3.363,19.631667,8.695139,112.338333,0.921596,信号停止,89380,0,0.297353553374963,0.297353553374963,1.00264782149498,0.997359170948947,1.08507415396768,0,-1,0,0
0,1,2.38,2.38,38.958333,3.402778,38.054444,4.778281,左折,106127,0,0.420168067226891,0.420168067226891,0.223400679027445,4.47626213292373,0.209280283013912,0.6,0.2,1,1
62,1,5.588,5.588,8.76,23.633333,56.385556,-1.693573,前方車の減速,111393,0.0161290322580645,0.178954903364352,0.178954903364352,0.985905102724756,1.01429640361561,-1.693573,0.2,-0.6,0,1
0,1,3.003,3.003,10.9625,4.405694,-4.224722,0.991334,右折,114629,0,0.333000333000333,0.333000333000333,-0.0675175317410992,-0.0675175317410992,1.008741756058,0.4,-0.2,0,1
4.833,1,2.061,2.061,10.993056,8.809028,93.291667,0.422378,左折,114895,0.206910821435961,0.485201358563804,0.485201358563804,0.883536781016521,1.13181479422904,2.36754755219259,0.8,0.6,1,1
0,1,0.08,0.08,21.631944,2.291667,47.355556,2.954751,左折,128954,0,12.5,12.5,0.643393597765785,1.55425854946731,0.338437993590661,1,1,1,1
0,1,6.153,6.153,6.073611,14.210417,61.583611,-0.717374,前方車の減速,132416,0,0.162522346822688,0.162522346822688,0.591328815747359,1.69110649332408,-0.717374,0.4,-0.2,0,1
0,1,5.713,5.713,2.533889,11.441944,27.4625,-0.820974,信号停止,132556,0,0.175039383861369,0.175039383861369,0.499974714271265,2.00010114803014,-0.820974,0,-1,0,0
0.985,1,18.22,18.22,12.318056,7.664722,90.351111,0.712456,信号停止,146084,1.01522842639594,0.0548847420417124,0.0548847420417124,1.00963496275143,0.990456983853678,1.40359545010499,0,-1,0,0
0,1,0,2.921,0.322222,6.727778,15.671944,-0.574456,一時停止,157886,0,0,0.342348510783978,0.165826054139847,6.03041545664873,-0.574456,0,-1,0,0
0,1,0,0,1.027778,1.344444,19.983333,0.396907,一時停止,164069,0,0,0,1.59194509404736,0.62816236799826,2.51948189374337,0,-1,0,0
0,1,0,0,14.3875,14.878889,31.593611,-0.046997,前方車の減速,166629,0,0,0,0.349895402694887,2.85799696794534,-0.046997,0,-1,0,0
0,1,0,8.657,0.3,7.411111,17.624444,0.784651,一時停止,168686,0,0,0.115513457317778,0.58391310877968,1.71258357615896,1.27445195379857,0,-1,0,0
0,1,7.519,7.519,21.363889,9.179167,0,0.974453,一時停止,170434,0,0.132996409096954,0.132996409096954,0,0,1.02621675955639,0,-1,0,0
0,1,0.486,0.486,23.680556,13.854167,76.626944,1.280543,信号停止,170831,0,2.05761316872428,2.05761316872428,1.04932480657309,0.952993766787829,0.780918719636904,0,-1,0,0
0,1,5.643,5.643,2.087222,7.456528,39.458056,-0.470008,右折,179043,0,0.177210703526493,0.177210703526493,0.612914228512254,1.63154965814276,-0.470008,0.75,0.5,1,1
0,1,6.534,6.534,0.277778,52.522222,64.827222,-3.607557,信号停止,196597,0,0.153045607591062,0.153045607591062,1.27780332457293,0.782593049156623,-3.607557,0,-1,0,0
4.167,1,7.997,7.997,8.176667,20.106806,68.991944,-1.141003,前方車の減速,196829,0.239980801535877,0.125046892584719,0.125046892584719,1.01520947639485,0.985018386107997,-1.141003,0,-1,0,0
0,1,17.43,17.43,9.9375,11.988194,17.734167,-0.194047,信号停止,202553,0,0.057372346528973,0.057372346528973,0.169858461129144,5.88725456095883,-0.194047,0,-1,0,0
0,1,5.533,5.533,8.238889,1.702083,45.093889,1.728058,右折,206318,0,0.180733779143322,0.180733779143322,0.903936747034913,1.10627209622819,0.578684280273,0.25,-0.5,0,1
0,1,5.364,5.364,8.097222,13.193056,17.006111,-0.421047,信号停止,207933,0,0.186428038777032,0.186428038777032,0.144986500260503,6.89719386427881,-0.421047,0,-1,0,0
0,1,3.421,3.421,8.516667,0.590972,55.336389,1.656845,一時停止,216790,0,0.292312189418299,0.292312189418299,1.04495908728493,0.956975265508481,0.603556759986601,0.5,0,1,1
0,1,53.493,53.493,1.711111,3.822222,23.0375,1.52921,一時停止,218372,0,0.0186940347335165,0.0186940347335165,1.4881571864346,0.671972026285645,0.653932422623446,0.3333,-0.3334,0,1
0,1,5.8,5.8,3.052222,5.140556,84.855,0.191671,前方車の減速,219636,0,0.172413793103448,0.172413793103448,1.01067990074442,0.989432954255298,5.21727334860255,0,-1,0,0
0,1,6.321,6.321,0,8.669444,8.733333,-0.393917,一時停止,231179,0,0.158202816010125,0.158202816010125,0.215195063655031,4.64694674224987,-0.393917,0,-1,0,0
4.476,1,7.39,7.39,14.409722,14.805556,87.675556,-0.042129,信号停止,231890,0.223413762287757,0.13531799729364,0.13531799729364,1.21420273744951,0.823585690558191,-0.042129,0,-1,0,0
51.5,1,0.061,0,7.083333,17.722222,118.651667,-0.786448,前方車の減速,236850,0.0194174757281553,16.3934426229508,0,0.98391265565614,1.01635037851315,-0.786448,0,-1,0,0
0,1,6.905,6.905,17.040278,8.424306,93.746944,0.767235,信号停止,250891,0,0.144822592324403,0.144822592324403,1.08678108585045,0.92014851290631,1.30338162362249,0.3333,-0.3334,0,1
2.923,1,6.733,6.733,13.929167,2.491944,-18.454167,1.976707,左折,256499,0.342114266164899,0.148522204069508,0.148522204069508,-0.279620359442737,-0.279620359442737,0.505891869659995,0,-1,0,0
0,1,5.842,5.842,27.252778,1.059722,6.658056,3.464531,左折,269232,0,0.171174255391989,0.171174255391989,0.0689993712936842,14.4928856778081,0.288639356957695,0,-1,0,0
0,1,0.319,0.319,16.431944,7.205,-4.039444,0.787857,右折,269290,0,3.13479623824451,3.13479623824451,-0.0349878459206506,-0.0349878459206506,1.26926586931385,0,-1,0,0
0,1,14.955,14.955,1.176389,17.140972,54.296667,-1.395008,信号停止,280288,0,0.0668672684720829,0.0668672684720829,1.38856291255239,0.720169025803698,-1.395008,0,-1,0,0
0,1,0,2.341,29.13,5.764444,131.647222,2.724317,信号停止,280872,0,0,0.427167876975651,0.929474983231678,1.07587618606271,0.36706447891343,0,-1,0,0
0.5,1,7.37,7.37,15.595833,3.599028,77.334167,1.825498,左折,283479,2,0.135685210312076,0.135685210312076,0.992630232110386,1.00742448461795,0.547795724783046,0.6667,0.3334,1,1
0,1,11.303,0,0.604722,32.735972,88.5375,-2.07213,停車,289591,0,0.0884720870565337,0,1.16505226990277,0.858330588106107,-2.07213,0.3333,-0.3334,0,1
